,CODEC,IMAG,IO,COMP,LANG,MATH
0,0.8004329004329004,0.8095238095238095,0.8456659619450317,0.9346580946814728,0.8517786561264822,0.927807486631016
1,0.9228070175438596,0.7684210526315789,0.8881375806136408,0.9167437557816835,0.7983870967741935,0.8844945555135352
2,0.8929666842940244,0.7305744888023369,0.9454545454545454,0.8135642135642136,0.7361845105239158,0.9244652406417112
3,0.9460784313725491,0.8072453861927547,0.9792207792207792,0.9337357478202548,0.8992094861660079,0.9231148345430212
4,0.9754901960784312,0.9714285714285714,0.9567811643283342,0.8285714285714286,0.9150197628458498,0.9812834224598932
5,0.9674876847290641,0.9928571428571428,0.9921473874962248,0.9492307692307692,0.85,0.8355807165577985
6,0.9715504978662872,0.8864468864468864,0.9870988550233832,0.8672679383829516,0.9546595123490886,0.9665775401069518
7,0.9784946236559141,0.9974025974025974,0.9844532279314888,0.9374811235276352,0.978021978021978,0.981951871657754
8,0.981533101045296,0.9974025974025974,0.9773482331621868,0.9789473684210528,0.979468160656514,0.8469504252247555
9,0.9902834008097166,1.0,0.9670554765291608,0.9480519480519479,0.9838238775349168,0.9839572192513371
10,0.9714285714285714,0.9928571428571428,0.9909713533941262,0.9806704922983992,0.9631151457238414,0.9736100363367204
11,0.9824561403508772,0.9757452574525746,0.997364953886693,0.9749320446994866,0.9928571428571428,0.9426877470355732
12,0.9714285714285714,0.9943214680056786,0.997364953886693,0.9473684210526316,0.95167989904832,0.9566513479580008
13,0.9710057384475991,0.9944444444444444,0.9984189723320158,0.9964912280701754,0.9757085020242916,0.984369386136691
14,0.9969230769230768,0.9950340798442064,0.997364953886693,0.9665306122448979,0.8,0.9822660098522168
15,0.9450549450549449,0.9629629629629628,0.9976284584980236,0.8627450980392157,0.9706641184902054,0.9734363084850612
16,0.9659385412810071,0.982213438735178,0.9972850678733032,0.961144119038856,0.9255319148936171,0.990457311387544
17,0.9901271134147848,0.9940711462450592,0.9975810353168844,0.9925818416384454,0.9278163696768348,0.9881422924901184
18,0.9878440083919536,0.95,0.985483870967742,0.9941436251920124,0.9903352461491997,0.9945532225079474
19,0.9859649122807016,0.9622979143527088,0.9980648282535076,0.9919367843896144,0.9909392932648746,0.9952383254708836
20,0.9824561403508772,0.8913043478260869,0.9986824769433466,0.987372067390962,0.978021978021978,0.9936555503810044
21,0.956043956043956,1.0,0.9997364953886692,0.9939595288432498,0.9143610013175232,0.9929824561403509
22,0.9571428571428572,1.0,0.9960474308300395,0.9930534581697372,0.903654485049834,0.9970742017253644
23,0.7912087912087912,0.9766753054424288,0.9971014492753624,0.9681632653061224,0.9644268774703556,0.997495527728086
24,0.9385836027034968,0.9523076923076924,0.9970972423802612,0.97733860342556,0.9818181818181818,0.9940711462450592
25,0.9785714285714284,0.9908762420957544,0.9960474308300395,0.984189723320158,0.9824826336454244,0.9802371541501976
26,0.9473684210526316,0.9031620553359684,0.997364953886693,0.9842947749924494,0.9468401331643242,0.9723076923076924
27,0.9950980392156864,0.902463054187192,0.9965744400527008,0.9963562753036436,0.9387755102040816,0.9779591836734692
