,variable,value
201,IOFROL,179227.86
202,IOFROL,267360.403
203,IOFROL,
204,IOFROL,
205,IOFROL,
206,IOFROL,
207,IOFROL,
208,IOFROL,
209,IOFROL,
210,IOFROL,
211,IOFROL,
212,IOFROL,
213,IOFROL,
214,IOFROL,
215,IOFROL,
216,IOFROL,
217,IOFROL,
218,IOFROL,
219,IOFROL,
220,IOFROL,
221,IOFROL,
222,IOFROL,
223,IOFROL,
224,IOFROL,
225,IOFROL,
226,IOFROL,
227,IOFROL,
228,IOFROL,
229,IOFROL,
230,IOFROL,
231,IOFROL,
232,IOFROL,
233,IOFROL,
234,IOFROL,
235,IOFROL,
236,IOFROL,
237,IOFROL,
238,IOFROL,
239,IOFROL,
240,IOFROL,
241,IOFROL,
242,IOFROL,
243,IOFROL,
244,IOFROL,
245,IOFROL,
246,IOFROL,
247,IOFROL,
248,IOFROL,
249,IOFROL,
250,IOFROL,
251,IOFROL,
252,IOFROL,
253,IOFROL,
254,IOFROL,
255,IOFROL,
256,IOFROL,
257,IOFROL,
258,IOFROL,
259,IOFROL,
260,IOFROL,
261,IOFROL,
262,IOFROL,
263,IOFROL,
264,IOFROL,
265,IOFROL,
266,IOFROL,
267,IOFROL,
268,IOFROL,
269,IOFROL,
270,IOFROL,
271,IOFROL,
272,IOFROL,
273,IOFROL,
274,IOFROL,
275,IOFROL,
276,IOFROL,
277,IOFROL,
278,IOFROL,
279,IOFROL,
280,IOFROL,
281,IOFROL,
282,IOFROL,
283,IOFROL,
284,IOFROL,
285,IOFROL,
286,IOFROL,
287,IOFROL,
288,IOFROL,
289,IOFROL,
290,IOFROL,
291,IOFROL,
292,IOFROL,
293,IOFROL,
294,IOFROL,
295,IOFROL,
296,IOFROL,
297,IOFROL,
298,IOFROL,
299,IOFROL,
300,IOFROL,
301,IOFROL,
302,IOFROL,
303,IOFROL,
304,IOFROL,
305,IOFROL,
306,IOFROL,
307,IOFROL,
308,IOFROL,
309,IOFROL,
310,IOFROL,
311,IOFROL,
312,IOFROL,
313,IOFROL,
314,IOFROL,
315,IOFROL,
316,IOFROL,
317,IOFROL,
318,IOFROL,
319,IOFROL,
320,IOFROL,
321,IOFROL,
322,IOFROL,
323,IOFROL,
324,IOFROL,
325,IOFROL,
326,IOFROL,
327,IOFROL,
328,IOFROL,
329,IOFROL,
330,IOFROL,
331,IOFROL,
332,IOFROL,
333,IOFROL,
334,IOFROL,
335,IOFROL,
336,IOFROL,
337,IOFROL,
338,IOFROL,
339,IOFROL,
340,IOFROL,
341,IOFROL,
342,IOFROL,
343,IOFROL,
344,IOFROL,
345,IOFROL,
346,IOFROL,
347,IOFROL,
348,IOFROL,
349,IOFROL,
350,IOFROL,
351,IOFROL,
352,IOFROL,
353,IOFROL,
354,IOFROL,
355,IOFROL,
356,IOFROL,
357,IOFROL,
358,IOFROL,
359,IOFROL,
360,IOFROL,
361,IOFROL,
362,IOFROL,
363,IOFROL,
364,IOFROL,
365,IOFROL,
366,IOFROL,
367,IOFROL,
368,IOFROL,
369,IOFROL,
370,IOFROL,
371,IOFROL,
372,IOFROL,
373,IOFROL,
374,IOFROL,
375,IOFROL,
376,IOFROL,
377,IOFROL,
378,IOFROL,
379,IOFROL,
380,IOFROL,
381,IOFROL,
382,IOFROL,
383,IOFROL,
384,IOFROL,
385,IOFROL,
386,IOFROL,
387,IOFROL,
388,IOFROL,
389,IOFROL,
390,IOFROL,
391,IOFROL,
392,IOFROL,
393,IOFROL,
394,IOFROL,
395,IOFROL,
396,IOFROL,
397,IOFROL,
398,IOFROL,
399,IOFROL,
400,IOFROL,
401,IOFROL,
402,IOFROL,
403,IOFROL,
404,IOFROL,
405,IOFROL,
406,IOFROL,
407,IOFROL,
408,IOFROL,
409,IOFROL,
410,IOFROL,
411,IOFROL,
412,IOFROL,
413,IOFROL,
414,IOFROL,
415,IOFROL,
416,IOFROL,
417,IOFROL,
418,IOFROL,
419,IOFROL,
420,IOFROL,
421,IOFROL,
422,IOFROL,
423,IOFROL,
424,IOFROL,
425,IOFROL,
426,IOFROL,
427,IOFROL,
428,IOFROL,
429,IOFROL,
430,IOFROL,
431,IOFROL,
432,IOFROL,
433,IOFROL,
434,IOFROL,
435,IOFROL,
436,Paint.,30052.381
437,Paint.,69465.858
438,Paint.,26216.432999999997
439,Paint.,34359.763999999996
440,Paint.,34020.924
441,Paint.,76062.598
442,Paint.,120847.554
443,Paint.,32085.541
444,Paint.,32332.976000000002
445,Paint.,41771.447
446,Paint.,41415.575
447,Paint.,41318.445
448,Paint.,45124.16099999999
449,Paint.,52053.48
450,Paint.,69264.714
451,Paint.,236981.44100000002
452,Paint.,161352.465
453,Paint.,82813.19900000001
454,Paint.,87457.00099999999
455,Paint.,76346.479
456,Paint.,185882.53600000002
457,Paint.,61526.307
458,Paint.,166677.085
459,Paint.,318677.135
460,Paint.,42964.653
461,Paint.,106299.44300000001
462,Paint.,152241.112
463,Paint.,110218.585
464,Paint.,101813.002
465,Paint.,118448.359
466,Paint.,111181.882
467,Paint.,106677.189
468,Paint.,114057.354
469,Paint.,107019.498
470,Paint.,54274.637
471,Paint.,74060.07
472,Paint.,115118.56599999999
473,Paint.,117031.326
474,Paint.,59724.070999999996
475,Paint.,113790.379
476,Paint.,230904.026
477,Paint.,117287.06199999999
478,Paint.,117569.489
479,Paint.,116215.299
480,Paint.,119059.97300000001
481,Paint.,118930.5
482,Paint.,118416.29199999999
483,Paint.,119419.74
484,Paint.,44630.794
485,Paint.,95632.76800000001
486,Paint.,130525.505
487,Paint.,130298.69
488,Paint.,130611.632
489,Paint.,173896.393
490,Paint.,128267.045
491,Paint.,131075.303
492,Paint.,130866.259
493,Paint.,133234.294
494,Paint.,135664.725
495,Paint.,131697.845
496,Paint.,132880.191
497,Paint.,133072.791
498,Paint.,141029.217
499,Paint.,132472.733
500,Paint.,135276.564
501,Paint.,128891.909
502,Paint.,138903.673
503,Paint.,138088.419
504,Paint.,133597.458
