TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,math,injected,RPA
8,0.816666666666667,0.67156862745098,0.611274509803922,0.96078431372549,1,0.843137254901961,0.786764705882353,0.885294117647059,0.82843137254902,0.632352941176471,,,
16,0.760695187165775,0.885427807486631,0.902005347593583,0.945855614973262,0.99298128342246,0.879010695187166,0.816577540106952,0.891377005347594,0.734224598930481,0.823529411764706,,,
11,0.736166007905138,0.922727272727273,0.922134387351779,0.942687747035574,1,0.940711462450593,0.855533596837945,0.937944664031621,0.761264822134387,0.83201581027668,,,
1,1,1,1,1,1,1,1,1,1,1,,,
3,0.821428571428571,0.914285714285714,0.757142857142857,1,1,0.928571428571429,0.835714285714286,0.928571428571429,0.757142857142857,0.785714285714286,,,
16,0.777205882352941,0.931885026737968,0.92346256684492,0.93783422459893,0.991978609625668,0.870320855614973,0.83201871657754,0.890173796791444,0.739371657754011,0.836898395721925,,,
1,1,1,1,1,1,1,1,1,1,1,,,
7,0.847857142857143,0.937142857142857,0.892857142857143,0.964285714285714,0.982142857142857,0.928571428571429,0.851428571428571,0.939285714285714,0.857142857142857,0.928571428571429,,,
14,0.739802955665025,0.837142857142857,0.830147783251231,0.948768472906404,1,0.90935960591133,0.808275862068965,0.870344827586207,0.747192118226601,0.850246305418719,,,
10,0.731688311688312,0.916883116883117,0.946753246753247,0.968831168831169,1,0.955844155844156,0.808831168831169,0.868831168831169,0.728311688311688,0.768831168831169,,,
7,0.877142857142857,0.867857142857143,0.951428571428571,0.978571428571428,0.982142857142857,0.9,0.811428571428571,0.845714285714286,0.837142857142857,0.757142857142857,,,
10,0.828571428571429,0.916883116883117,0.952207792207792,0.968831168831169,1,0.948051948051948,0.81038961038961,0.893506493506494,0.818181818181818,0.766233766233766,,,
7,0.77,0.821428571428571,0.918571428571429,0.957142857142857,0.985,0.892857142857143,0.867142857142857,0.928571428571429,0.752142857142857,0.9,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
7,0.8,0.946428571428572,0.905,0.971428571428572,0.985,0.892857142857143,0.870714285714286,0.934285714285714,0.734285714285714,0.9,,,
1,1,1,1,1,1,1,1,1,1,1,,,
7,0.827857142857143,0.957857142857143,0.937857142857143,0.957142857142857,0.992857142857143,0.857142857142857,0.832142857142857,0.891428571428572,0.71,0.9,,,
7,0.710714285714286,0.96,0.935714285714286,0.914285714285714,0.989285714285714,0.878571428571429,0.845714285714286,0.881428571428571,0.672857142857143,0.9,,,
168,0.764515916633013,0.923789666165835,0.924358368178272,0.95775401270722,0.619082025028156,0.823080936411226,0.808457098710465,0.921110263851647,0.757172643608388,0.820427746186705,,,
168,0.74231854085198,0.930437440897381,0.934810156745787,0.961654471983164,0.621063044465235,0.817904989327039,0.807373937407034,0.915142686576149,0.719088734821444,0.888957310664683,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,1,0.8,0.98,1,1,0.8,0.86,0.8,1,0.8,,,
1,1,1,1,1,1,1,1,1,1,1,,,
8,0.756372549019608,0.918627450980392,0.915196078431373,0.916666666666667,1,1,0.849019607843137,0.941176470588235,0.744117647058824,0.892156862745098,,,
76,0.765600498572635,0.894795813062067,0.910724002519668,0.913011137469342,0.639802715344511,0.853912857008832,0.809706753514803,0.897996997842199,0.733469368608687,0.845697130526852,,,
376,0.709672911716754,0.922190728029807,0.935128996964341,0.940550850382543,0.611942719555774,0.813815678085671,0.795598906928862,0.892726857680177,0.714692333999405,0.825112608991766,,,
1,1,1,1,1,1,1,1,1,1,1,,,
13,0.831746031746032,0.824542124542125,0.937240537240537,0.986568986568987,1,0.93040293040293,0.840903540903541,0.963125763125763,0.828449328449328,0.819291819291819,,,
46,0.757906359105965,0.943209692339829,0.887499626988153,0.890304676076512,0.670937900987735,0.808182387872639,0.798863059890782,0.92248813822327,0.752687177344752,0.843245501477127,,,
3,0.928571428571429,0.921428571428571,0.914285714285714,1,0.985714285714286,0.785714285714286,0.878571428571428,0.978571428571428,0.842857142857143,0.714285714285714,,,
2,1,1,1,1,1,1,0.9,0.98,1,0.8,,,
1,1,1,1,1,1,1,1,1,1,1,,,
30,0.783056583818086,0.885658381808567,0.907942887361185,0.916763617133792,0.65542041248017,0.87086197778953,0.824167107350609,0.953347435219461,0.829539925965098,0.876467477525119,,,
3,0.864285714285714,0.864285714285714,0.928571428571428,0.928571428571429,1,0.928571428571429,0.907142857142857,0.992857142857143,0.864285714285714,0.785714285714286,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
32,0.801494755244755,0.914833916083916,0.920944055944056,0.922814685314686,0.658444055944056,0.856993006993007,0.831818181818182,0.951783216783217,0.817211538461539,0.874737762237762,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
3,0.842857142857143,0.964285714285714,0.9,1,1,1,0.864285714285714,0.992857142857143,0.8,0.714285714285714,,,
5,0.836363636363636,0.763636363636363,0.750909090909091,0.818181818181818,1,0.690909090909091,0.796363636363636,0.849090909090909,0.810909090909091,0.927272727272727,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
