TestTargetsPerCommit,RLMLP,RL,RRF,RF,kNN,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,,,,
2,0.8,0.8,0.92,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,1,1,0.86,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.86,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,0.8,0.8,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.907142857142857,0.857142857142857,0.964285714285714,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
14,0.655960591133005,0.671702244116037,0.926699507389162,0,0,0,0,0,0,0,,,,
3,1,1,0.928571428571428,0,0,0,0,0,0,0,,,,
3,0.778571428571429,0.761904761904762,0.807142857142857,0,0,0,0,0,0,0,,,,
18,0.725414888572783,0.712818081239134,0.873352299668089,0,0,0,0,0,0,0,,,,
31,0.740015360983103,0.73862860556409,0.816493855606759,0,0,0,0,0,0,0,,,,
20,0.720348432055749,0.731900890437476,0.866376306620209,0,0,0,0,0,0,0,,,,
19,0.721133603238866,0.717768780926676,0.852307692307692,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.94,0,0,0,0,0,0,0,,,,
2,1,1,0.84,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.8,0,0,0,0,0,0,0,,,,
17,0.737647058823529,0.725925925925926,0.828851540616247,0,0,0,0,0,0,0,,,,
9,0.734035087719298,0.741520467836257,0.807017543859649,0,0,0,0,0,0,0,,,,
10,0.688311688311688,0.698412698412699,0.787012987012987,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
21,0.765690123829659,0.806570690291621,0.770643310178194,0,0,0,0,0,0,0,,,,
12,0.847384615384615,0.814358974358974,0.903692307692308,0,0,0,0,0,0,0,,,,
