TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,compress,normal,RPA
1,1,0,0,0,0,0,0,0,1,0,,,
29,0.74292226767972,0,0,0,0,0,0,0,0.732355347749854,0,,,
23,0.748566142460685,0,0.850023126734505,0,0,0,0,0,0.762534690101758,0,,,
27,0.794271284271284,0,0.818903318903319,0,0,0,0,0,0.778917748917749,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
35,0.731207243460765,0,0.871636485580148,0,0,0,0,0,0.760093896713615,0,,,
10,0.792207792207792,0,0.823636363636364,0,0,0,0,0,0.781818181818182,0,,,
12,0.819692307692308,0,0.888307692307692,0,0,0,0,0,0.852,0,,,
33,0.750299305610983,0,0.900790166812994,0,0,0,0,0,0.772471865272568,0,,,
3,0.907142857142857,0,0.935714285714285,0,0,0,0,0,0.885714285714286,0,,,
21,0.800422832980973,0,0.946058592570221,0,0,0,0,0,0.785442464512232,0,,,
9,0.794385964912281,0,0.959649122807018,0,0,0,0,0,0.779298245614035,0,,,
21,0.778556327393537,0,0.942162488674117,0,0,0,0,0,0.768649954696467,0,,,
21,0.82431289640592,0,0.938356991845364,0,0,0,0,0,0.826940501359106,0,,,
21,0.787888855330716,0,0.930806402899426,0,0,0,0,0,0.829568106312293,0,,,
9,0.846315789473684,0,0.955438596491228,0,0,0,0,0,0.874035087719298,0,,,
9,0.84140350877193,0,0.936140350877193,0,0,0,0,0,0.827719298245614,0,,,
24,0.756551020408163,0,0.932632653061225,0,0,0,0,0,0.772265306122449,0,,,
8,0.80343137254902,0,0.94313725490196,0,0,0,0,0,0.813235294117647,0,,,
38,0.785362006414638,0,0.907061359692939,0,0,0,0,0,0.774688469425312,0,,,
26,0.751072407676181,0,0.914142880180616,0,0,0,0,0,0.770537010159652,0,,,
31,0.816273041474654,0,0.919028417818741,0,0,0,0,0,0.822839861751152,0,,,
26,0.779970972423803,0,0.894807289146912,0,0,0,0,0,0.781680374133204,0,,,
72,0.741443867107542,0,0.8745213352228,0,0,0,0,0,0.739027712171312,0,,,
21,0.740320144971308,0,0.930625188764724,0,0,0,0,0,0.76843853820598,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
21,0.780096647538508,0,0.932497734823316,0,0,0,0,0,0.79250981576563,0,,,
24,0.750979591836735,0,0.872163265306123,0,0,0,0,0,0.740265306122449,0,,,
22,0.732305665349144,0,0.861870882740448,0,0,0,0,0,0.726508563899868,0,,,
22,0.774571805006588,0,0.871910408432148,0,0,0,0,0,0.77939393939394,0,,,
21,0.776321353065539,0,0.903292056780429,0,0,0,0,0,0.780217456961643,0,,,
19,0.790607287449393,0,0.934777327935223,0,0,0,0,0,0.737004048582996,0,,,
19,0.764696356275304,0,0.922186234817813,0,0,0,0,0,0.739392712550607,0,,,
17,0.80436974789916,0,0.907002801120448,0,0,0,0,0,0.83546218487395,0,,,
21,0.804439746300212,0,0.93228631833283,0,0,0,0,0,0.812775596496527,0,,,
21,0.786167321051042,0,0.923950468136515,0,0,0,0,0,0.774539414074298,0,,,
24,0.797489795918368,0,0.916244897959184,0,0,0,0,0,0.80769387755102,0,,,
9,0.758245614035088,0,0.948070175438597,0,0,0,0,0,0.788070175438597,0,,,
18,0.78715030820294,0,0.902275960170697,0,0,0,0,0,0.776434329065908,0,,,
